Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,508463163.0,136979542.0,45970559.0
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,1435372572.0,450121249.0,1122697302.0
Cha Cha Cha,Cha Cha Cha,Kï¿½ï¿½ï¿½,1/17/2023,143311775.0,85239745.0,304146444.0
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,136169854.0,117339013.0,567845644.0
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11/8/2023,83966111.0,51878795.0,21053.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,6/16/2017,1120187276.0,80920611.0,2745676769.0
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,5/13/2022,141141890.0,26048435.0,8556410580.0
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",His & Hers,Internet Money,5/13/2021,224820131.0,49154791.0,1272691476.0
Tu Aake Dekhle,The Carnival,King,9/21/2020,410639967.0,619113386.0,61728216.0
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,2102223775.0,1412127488.0,2264301241.0
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,15062636.0,4507011.0,6372350.0
Verte Ir,Verte Ir,DJ Luian,3/28/2019,550967367.0,728468384.0,20847094.0
Pink + White,Blonde,Frank Ocean,8/20/2016,1299650856.0,158016588.0,442090971.0
Mother,Takin' It Back (Deluxe),Meghan Trainor,3/4/2023,79738242.0,51124809.0,2678819017.0
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,88014813.0,53097639.0,26517142.0
Space Song,Depression Cherry,Beach House,8/21/2015,1099069598.0,127534602.0,2588157478.0
Chill Bill,The RCA-List (Vol. 2),Rob $tone,1/1/2016,843861768.0,278120145.0,16756000.0
My Way,My Way,Calvin Harris,9/16/2016,1014534913.0,615907345.0,56011096.0
Big City Life,Big City Life,Luude,6/16/2022,181323700.0,17510125.0,160730392.0
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,1958809069.0,1463549979.0,54356279.0
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,9/6/2010,662257934.0,464462597.0,1511650572.0
Jumbotron Shit Poppin,Her Loss,Drake,11/4/2022,126296463.0,37702345.0,70817893.0
La Nota,La Nota,Manuel Turizo,10/8/2020,560949285.0,298415218.0,576560432.0
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,346860422.0,888138257.0,73588039.0
Solo,Solo,Myles Smith,11/15/2023,95747052.0,13990236.0,9054387.0
UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,5/1/2023,223652808.0,129099788.0,705088821.0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,478756.0,5028021.0,193347455.0
Sex Music,Sex Music,Tank,6/29/2010,5283089.0,7187358.0,482153.0
Porfa,Porfa,Feid,12/13/2019,396184710.0,656159660.0,1796651.0
P power (feat. Drake),DRIP SEASON 4EVER,Gunna,1/7/2022,307122295.0,31666337.0,327835388.0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,247056218.0,41065721.0,386594049.0
Derniï¿½ï¿½re d,Derniï¿½ï¿½re D,Indila,11/13/2013,410783411.0,1717040143.0,1251931456.0
Fight Song,Fight Song,Rachel Platten,12/2/2014,897794289.0,101998780.0,1021462418.0
Satu Rasa Cinta,Satu Rasa Cinta - Single,Happy Asmara,12/3/2022,3451208.0,10165956.0,319066421.0
